tree_index,node_depth,node_index,left_child,right_child,parent_index,split_feature,split_gain,threshold,decision_type,missing_direction,missing_type,value,weight,count
0,1,0-S0,0-S8,0-S1,,Column_9,972449024.0,1057.248125,<=,left,None,14.4462,0.0,424583
0,2,0-S8,0-S23,0-S10,0-S0,Column_9,22325400.0,478.2225,<=,left,None,12.963,404466.0,404466
0,3,0-S23,0-S39,0-S30,0-S8,Column_9,866232.0,372.55464285714294,<=,left,None,12.6062,361311.0,361311
0,4,0-S39,0-S89,0-S40,0-S23,Column_9,232491.0,281.85437500000006,<=,left,None,12.5454,334620.0,334620
0,5,0-S89,0-S98,0-S90,0-S39,Column_6,13414.0,286.48375000000004,<=,left,None,12.492,275988.0,275988
0,6,0-S98,0-S137,0-S102,0-S89,Column_9,9067.6201171875,105.75437500000001,<=,left,None,12.4888,273078.0,273078
0,7,0-S137,0-L0,0-S152,0-S98,Column_13,222.05299377441406,36.74812500000001,<=,left,None,12.4487,77920.0,77920
0,8,0-L0,,,0-S137,,,,,,,12.501788337257471,1556.0,1556
0,8,0-S152,0-S156,0-L153,0-S137,Column_0,113.14700317382812,284.28937500000006,<=,left,None,12.4477,76364.0,76364
0,9,0-S156,0-S164,0-L157,0-S152,Column_9,96.93659973144531,92.30562500000002,<=,left,None,12.4471,75541.0,75541
0,10,0-S164,0-S171,0-L165,0-S156,Column_18,55.07389831542969,450.65625000000006,<=,left,None,12.4509,49425.0,49425
0,11,0-S171,0-L138,0-S180,0-S164,Column_5,36.660701751708984,58.82437500000001,<=,left,None,12.4504,48906.0,48906
0,12,0-L138,,,0-S171,,,,,,,12.448803779015844,43181.0,43181
0,12,0-S180,0-L172,0-L181,0-S171,Column_18,6.267950057983398,77.28750000000001,<=,left,None,12.4621,5725.0,5725
0,13,0-L172,,,0-S180,,,,,,,12.457300573208961,3986.0,3986
0,13,0-L181,,,0-S180,,,,,,,12.473009231535201,1739.0,1739
0,11,0-L165,,,0-S164,,,,,,,12.499555047098738,519.0,519
0,10,0-L157,,,0-S156,,,,,,,12.439908497382804,26116.0,26116
0,9,0-L153,,,0-S152,,,,,,,12.500978483047254,823.0,823
0,7,0-S102,0-S110,0-S112,0-S98,Column_6,7763.56005859375,163.800625,<=,left,None,12.5048,195158.0,195158
0,8,0-S110,0-S121,0-L111,0-S102,Column_9,3780.070068359375,208.73812500000005,<=,left,None,12.5427,68150.0,68150
0,9,0-S121,0-S126,0-S128,0-S110,Column_18,862.10400390625,135.40866071428573,<=,left,None,12.5393,67408.0,67408
0,10,0-S126,0-S127,0-S134,0-S121,Column_18,693.8820190429688,130.61187500000003,<=,left,None,12.5259,39238.0,39238
0,11,0-S127,0-S143,0-S136,0-S126,Column_2,1077.5699462890625,113.00125000000001,<=,left,None,12.5387,26610.0,26610
0,12,0-S143,0-S157,0-L144,0-S127,Column_18,160.54299926757812,115.05812500000002,<=,left,None,12.4887,6369.0,6369
0,13,0-S157,0-S158,0-L158,0-S143,Column_2,85.08070373535156,110.40375000000002,<=,left,None,12.4814,5769.0,5769
0,14,0-S158,0-L99,0-L159,0-S157,Column_7,99.54920196533203,106.875625,<=,left,None,12.4912,4423.0,4423
0,15,0-L99,,,0-S158,,,,,,,12.462440597377958,1612.0,1612
0,15,0-L159,,,0-S158,,,,,,,12.507661004447474,2811.0,2811
0,14,0-L158,,,0-S157,,,,,,,12.449195495331988,1346.0,1346
0,13,0-L144,,,0-S143,,,,,,,12.558958639020046,600.0,600
0,12,0-S136,0-L128,0-S154,0-S127,Column_11,222.531005859375,109.43812500000001,<=,left,None,12.5544,20241.0,20241
0,13,0-L128,,,0-S136,,,,,,,12.644441992933476,536.0,536
0,13,0-S154,0-S169,0-S155,0-S136,Column_18,100.86799621582031,129.23062500000003,<=,left,None,12.552,19705.0,19705
0,14,0-S169,0-L137,0-L170,0-S154,Column_16,43.57339859008789,121.42666666666669,<=,left,None,12.5578,14973.0,14973
0,15,0-L137,,,0-S169,,,,,,,12.544341902575926,4027.0,4027
0,15,0-L170,,,0-S169,,,,,,,12.562794972755938,10946.0,10946
0,14,0-S155,0-L155,0-L156,0-S154,Column_6,110.2030029296875,131.07071428571433,<=,left,None,12.5336,4732.0,4732
0,15,0-L155,,,0-S155,,,,,,,12.54696879971237,3460.0,3460
0,15,0-L156,,,0-S155,,,,,,,12.497313029859647,1272.0,1272
0,11,0-S134,0-L127,0-S148,0-S126,Column_0,321.14599609375,128.83312500000002,<=,left,None,12.4989,12628.0,12628
0,12,0-L127,,,0-S134,,,,,,,12.567349061204677,1228.0,1228
0,12,0-S148,0-S167,0-S149,0-S134,Column_16,119.06199645996094,134.75937500000003,<=,left,None,12.4915,11400.0,11400
0,13,0-S167,0-S170,0-L168,0-S148,Column_0,50.12770080566406,137.46392857142862,<=,left,None,12.4854,9702.0,9702
0,14,0-S170,0-L135,0-L171,0-S167,Column_16,40.820499420166016,130.62208333333334,<=,left,None,12.4827,9123.0,9123
0,15,0-L135,,,0-S170,,,,,,,12.519084236526947,672.0,672
0,15,0-L171,,,0-S170,,,,,,,12.47976648297198,8451.0,8451
0,14,0-L168,,,0-S167,,,,,,,12.528442952008245,579.0,579
0,13,0-S149,0-L149,0-L150,0-S148,Column_0,129.02699279785156,133.98562500000006,<=,left,None,12.5267,1698.0,1698
0,14,0-L149,,,0-S149,,,,,,,12.467237921211979,520.0,520
0,14,0-L150,,,0-S149,,,,,,,12.553072248066286,1178.0,1178
0,10,0-S128,0-L122,0-S138,0-S121,Column_8,622.427978515625,116.26812500000001,<=,left,None,12.5579,28170.0,28170
0,11,0-L122,,,0-S128,,,,,,,12.70567456911443,547.0,547
0,11,0-S138,0-S160,0-S173,0-S128,Column_8,218.41700744628906,153.9732142857143,<=,left,None,12.555,27623.0,27623
0,12,0-S160,0-S161,0-S175,0-S138,Column_6,71.8114013671875,134.80708333333334,<=,left,None,12.5609,22602.0,22602
0,13,0-S161,0-L129,0-L162,0-S160,Column_5,128.88499450683594,132.13312500000004,<=,left,None,12.54,3056.0,3056
0,14,0-L129,,,0-S161,,,,,,,12.559439838611857,2131.0,2131
0,14,0-L162,,,0-S161,,,,,,,12.495307570831496,925.0,925
0,13,0-S175,0-S181,0-L176,0-S160,Column_9,19.989700317382812,150.6775,<=,left,None,12.5642,19546.0,19546
0,14,0-S181,0-L161,0-L182,0-S175,Column_18,5.269259929656982,275.1112500000001,<=,left,None,12.5658,17930.0,17930
0,15,0-L161,,,0-S181,,,,,,,12.565132867076994,17412.0,17412
0,15,0-L182,,,0-S181,,,,,,,12.587927408941713,518.0,518
0,14,0-L176,,,0-S175,,,,,,,12.546596246213547,1616.0,1616
0,12,0-S173,0-L139,0-L174,0-S138,Column_6,28.165599822998047,157.59625000000003,<=,left,None,12.5283,5021.0,5021
0,13,0-L139,,,0-S173,,,,,,,12.51212319803335,1763.0,1763
0,13,0-L174,,,0-S173,,,,,,,12.537035633642127,3258.0,3258
0,9,0-L111,,,0-S110,,,,,,,12.854989970050237,742.0,742
0,8,0-S112,0-S115,0-S113,0-S102,Column_0,3080.6298828125,354.3400000000001,<=,left,None,12.4845,127008.0,127008
0,9,0-S115,0-S130,0-S116,0-S112,Column_6,2185.159912109375,174.87401785714286,<=,left,None,12.482099999999999,125438.0,125438
0,10,0-S130,0-L103,0-S153,0-S115,Column_18,502.2749938964844,163.543125,<=,left,None,12.455,39573.0,39573
0,11,0-L103,,,0-S130,,,,,,,12.55744245245737,920.0,920
0,11,0-S153,0-L131,0-S163,0-S130,Column_13,101.15499877929688,165.46250000000003,<=,left,None,12.4526,38653.0,38653
0,12,0-L131,,,0-S153,,,,,,,12.493831811250374,1215.0,1215
0,12,0-S163,0-S165,0-S168,0-S153,Column_17,67.14119720458984,178.39687500000002,<=,left,None,12.4513,37438.0,37438
0,13,0-S165,0-S166,0-S178,0-S163,Column_17,52.18830108642578,169.6926785714286,<=,left,None,12.4501,36240.0,36240
0,14,0-S166,0-L154,0-L167,0-S165,Column_0,51.7859001159668,172.16062500000007,<=,left,None,12.4574,13834.0,13834
0,15,0-L154,,,0-S166,,,,,,,12.455529763032038,13280.0,13280
0,15,0-L167,,,0-S166,,,,,,,12.502605112502867,554.0,554
0,14,0-S178,0-L166,0-L179,0-S165,Column_0,12.851300239562988,168.17062500000006,<=,left,None,12.4456,22406.0,22406
0,15,0-L166,,,0-S178,,,,,,,12.4708989242247,652.0,652
0,15,0-L179,,,0-S178,,,,,,,12.44487113604807,21754.0,21754
0,13,0-S168,0-L164,0-L169,0-S163,Column_18,45.52989959716797,352.6362500000001,<=,left,None,12.4858,1198.0,1198
0,14,0-L164,,,0-S168,,,,,,,12.5186498090593,539.0,539
0,14,0-L169,,,0-S168,,,,,,,12.459064501580446,659.0,659
0,10,0-S116,0-S123,0-S131,0-S115,Column_9,2979.719970703125,263.84812500000004,<=,left,None,12.4946,85865.0,85865
0,11,0-S123,0-S129,0-S124,0-S116,Column_16,778.0819702148438,157.31812500000004,<=,left,None,12.517900000000001,47380.0,47380
0,12,0-S129,0-L116,0-S139,0-S123,Column_1,577.8579711914062,234.77187500000005,<=,left,None,12.5864,3033.0,3033
0,13,0-L116,,,0-S129,,,,,,,12.72198164965969,512.0,512
0,13,0-S139,0-L130,0-S182,0-S129,Column_16,198.91900634765625,123.12866071428573,<=,left,None,12.5589,2521.0,2521
0,14,0-L130,,,0-S139,,,,,,,12.482827381296623,542.0,542
0,14,0-S182,0-L140,0-L183,0-S139,Column_16,3.0708301067352295,139.89750000000004,<=,left,None,12.5798,1979.0,1979
0,15,0-L140,,,0-S182,,,,,,,12.572663860668332,1344.0,1344
