tree_index,node_depth,node_index,left_child,right_child,parent_index,split_feature,split_gain,threshold,decision_type,missing_direction,missing_type,value,weight,count
0,1,0-S0,0-S7,0-S1,,Column_9,1735190016.0,1708.5552678571432,<=,left,None,15.6508,0.0,424583
0,2,0-S7,0-S8,0-L8,0-S0,Column_10,38725500.0,1704.8975000000003,<=,left,None,10.282,414584.0,414584
0,3,0-S8,0-S18,0-S9,0-S7,Column_8,16443200.0,1536.4144642857148,<=,left,None,10.0542,413798.0,413798
0,4,0-S18,0-S21,0-S20,0-S8,Column_9,450575.0,271.91687500000006,<=,left,None,9.80469,411593.0,411593
0,5,0-S21,0-S22,0-S24,0-S18,Column_9,226140.0,115.10312500000002,<=,left,None,9.36318,255827.0,255827
0,6,0-S22,0-S25,0-S23,0-S21,Column_9,576853.0,109.51687500000001,<=,left,None,10.0736,86663.0,86663
0,7,0-S25,0-S290,0-S26,0-S22,Column_9,63243.6015625,70.33375000000002,<=,left,None,9.7975,83397.0,83397
0,8,0-S290,0-L0,0-S312,0-S25,Column_8,37.59170150756836,36.74937500000001,<=,left,None,9.39975,48683.0,48683
0,9,0-L0,,,0-S290,,,,,,,9.279519923984925,1624.0,1624
0,9,0-S312,0-L291,0-S313,0-S290,Column_9,9.0066499710083,37.91937500000001,<=,left,None,9.40394,47059.0,47059
0,10,0-L291,,,0-S312,,,,,,,9.389337608421346,28802.0,28802
0,10,0-S313,0-L313,0-L314,0-S312,Column_9,86.01290130615234,51.92875000000001,<=,left,None,9.42709,18257.0,18257
0,11,0-L313,,,0-S313,,,,,,,9.477837301046273,8223.0,8223
0,11,0-L314,,,0-S313,,,,,,,9.385721159657962,10034.0,10034
0,8,0-S26,0-S27,0-S50,0-S25,Column_9,163993.0,94.27625,<=,left,None,10.3554,34714.0,34714
0,9,0-S27,0-L26,0-S28,0-S26,Column_12,65811.3984375,77.248125,<=,left,None,12.7735,6635.0,6635
0,10,0-L26,,,0-S27,,,,,,,9.742613595033548,1592.0,1592
0,10,0-S28,0-S29,0-S47,0-S27,Column_18,70629.1015625,94.21312500000002,<=,left,None,13.7306,5043.0,5043
0,11,0-S29,0-S30,0-S55,0-S28,Column_0,82096.6015625,94.31812500000001,<=,left,None,15.1778,3337.0,3337
0,12,0-S30,0-L28,0-L31,0-S29,Column_2,64925.3984375,92.50214285714287,<=,left,None,17.1772,2145.0,2145
0,13,0-L28,,,0-S30,,,,,,,14.916764724507912,1360.0,1360
0,13,0-L31,,,0-S30,,,,,,,21.091998315438822,785.0,785
0,12,0-S55,0-L30,0-L56,0-S29,Column_0,18090.5,95.27562500000003,<=,left,None,11.5803,1192.0,1192
0,13,0-L30,,,0-S55,,,,,,,9.354306412078621,563.0,563
