tree_index,node_depth,node_index,left_child,right_child,parent_index,split_feature,split_gain,threshold,decision_type,missing_direction,missing_type,value,weight,count
0,1,0-S0,0-S4,0-S1,,Column_9,19902199808.0,2963.2218750000006,<=,left,None,24.7002,0.0,424583
0,2,0-S4,0-S6,0-L5,0-S0,Column_11,15523100.0,2866.9712500000005,<=,left,None,15.3602,419549.0,419549
0,3,0-S6,0-S7,0-L7,0-S4,Column_7,2557780.0,3015.1631250000005,<=,left,None,15.2586,418796.0,418796
0,4,0-S7,0-S12,0-S8,0-S6,Column_17,137774.0,92.07770833333335,<=,left,None,15.2195,418121.0,418121
0,5,0-S12,0-L0,0-S21,0-S7,Column_13,1986.22998046875,36.74812500000001,<=,left,None,15.821,51912.0,51912
0,6,0-L0,,,0-S12,,,,,,,15.336535632743175,1558.0,1558
0,6,0-S21,0-S22,0-L22,0-S12,Column_17,280.7019958496094,70.164375,<=,left,None,15.8362,50354.0,50354
0,7,0-S22,0-L13,0-S23,0-S21,Column_17,209.3820037841797,38.321875000000006,<=,left,None,15.8491,46925.0,46925
0,8,0-L13,,,0-S22,,,,,,,15.819984119425492,33586.0,33586
0,8,0-S23,0-L23,0-L24,0-S22,Column_16,1247.2099609375,38.68416666666668,<=,left,None,15.9231,13339.0,13339
0,9,0-L23,,,0-S23,,,,,,,16.28671299635551,1725.0,1725
0,9,0-L24,,,0-S23,,,,,,,15.869717634314283,11614.0,11614
0,7,0-L22,,,0-S21,,,,,,,15.661307045909389,3429.0,3429
0,5,0-S8,0-S13,0-S9,0-S7,Column_17,33446.6015625,262.5125000000001,<=,left,None,15.1343,366209.0,366209
0,6,0-S13,0-S24,0-S27,0-S8,Column_16,1787.449951171875,208.17821428571432,<=,left,None,15.0137,182096.0,182096
0,7,0-S24,0-S25,0-L25,0-S13,Column_16,47.99549865722656,115.06375000000001,<=,left,None,14.9916,146062.0,146062
0,8,0-S25,0-L8,0-S26,0-S24,Column_14,640.8779907226562,109.32875000000003,<=,left,None,15.0363,34744.0,34744
0,9,0-L8,,,0-S25,,,,,,,15.011534439671026,31043.0,31043
0,9,0-S26,0-L26,0-L27,0-S25,Column_13,444.9530029296875,112.4775,<=,left,None,15.2459,3701.0,3701
0,10,0-L26,,,0-S26,,,,,,,15.475765121181247,1610.0,1610
0,10,0-L27,,,0-S26,,,,,,,15.072862738862664,2091.0,2091
0,8,0-L25,,,0-S24,,,,,,,14.97780311563049,111318.0,111318
0,7,0-S27,0-L14,0-L28,0-S13,Column_18,29.013200759887695,125.93607142857145,<=,left,None,15.1032,36034.0,36034
0,8,0-L14,,,0-S27,,,,,,,15.509578348656614,511.0,511
0,8,0-L28,,,0-S27,,,,,,,15.097612383366176,35523.0,35523
0,6,0-S9,0-S14,0-S10,0-S8,Column_18,36132.30078125,299.7937500000001,<=,left,None,15.2536,184113.0,184113
0,7,0-S14,0-L9,0-S15,0-S9,Column_0,1708.449951171875,77.59187500000002,<=,left,None,15.4958,63461.0,63461
0,8,0-L9,,,0-S14,,,,,,,15.821678130897709,3046.0,3046
0,8,0-S15,0-L15,0-S16,0-S14,Column_0,6536.5,262.6781250000001,<=,left,None,15.4795,60415.0,60415
0,9,0-L15,,,0-S15,,,,,,,15.041089455167182,5174.0,5174
0,9,0-S16,0-L16,0-L17,0-S15,Column_0,2525.760009765625,277.70312500000006,<=,left,None,15.5207,55241.0,55241
0,10,0-L16,,,0-S16,,,,,,,15.613829718930404,27289.0,27289
0,10,0-L17,,,0-S16,,,,,,,15.430141678184654,27952.0,27952
0,7,0-S10,0-S11,0-L11,0-S9,Column_14,9005.7900390625,5330.25125,<=,left,None,15.1262,120652.0,120652
0,8,0-S11,0-L10,0-S17,0-S10,Column_0,3763.52001953125,92.37437500000001,<=,left,None,15.1189,120118.0,120118
0,9,0-L10,,,0-S11,,,,,,,15.827581172111202,1308.0,1308
0,9,0-S17,0-S18,0-L18,0-S11,Column_9,909.6380004882812,2095.7593750000005,<=,left,None,15.1111,118810.0,118810
0,10,0-S18,0-S20,0-S19,0-S17,Column_18,354.76300048828125,385.7633928571429,<=,left,None,15.1066,117478.0,117478
0,11,0-S20,0-L12,0-L21,0-S18,Column_17,814.9219970703125,327.659375,<=,left,None,15.0596,40356.0,40356
0,12,0-L12,,,0-S20,,,,,,,15.15011375219495,15645.0,15645
0,12,0-L21,,,0-S20,,,,,,,15.002675604559474,24711.0,24711
0,11,0-S19,0-L19,0-L20,0-S18,Column_6,875.72900390625,426.94312500000007,<=,left,None,15.1313,77122.0,77122
0,12,0-L19,,,0-S19,,,,,,,15.234277602722521,16167.0,16167
0,12,0-L20,,,0-S19,,,,,,,15.10412204109645,60955.0,60955
0,10,0-L18,,,0-S17,,,,,,,15.517094024596283,1332.0,1332
0,8,0-L11,,,0-S10,,,,,,,16.784502680681246,534.0,534
0,4,0-L7,,,0-S6,,,,,,,39.466880151710725,675.0,675
0,3,0-L5,,,0-S4,,,,,,,71.81861484561256,753.0,753
0,2,0-S1,0-S2,0-S3,0-S0,Column_9,1845400064.0,5333.314583333334,<=,left,None,802.988,5034.0,5034
0,3,0-S2,0-L1,0-L3,0-S1,Column_18,432258016.0,1231.6862500000004,<=,left,None,461.183,1650.0,1650
0,4,0-L1,,,0-S2,,,,,,,683.2385607431404,745.0,745
0,4,0-L3,,,0-S2,,,,,,,277.92400202294806,905.0,905
0,3,0-S3,0-S5,0-L4,0-S1,Column_10,136360992.0,5956.265625000001,<=,left,None,969.491,3384.0,3384
0,4,0-S5,0-L2,0-L6,0-S3,Column_17,6420880.0,1533.2537500000003,<=,left,None,892.75,1778.0,1778
0,5,0-L2,,,0-S5,,,,,,,922.7507305942509,892.0,892
0,5,0-L6,,,0-S5,,,,,,,861.6834744364251,886.0,886
0,4,0-L4,,,0-S3,,,,,,,1053.9291203229673,1606.0,1606
1,1,1-S0,1-S4,1-S1,,Column_9,7321430016.0,2963.2218750000006,<=,left,None,0.0,0.0,424583
1,2,1-S4,1-S7,1-L5,1-S0,Column_11,5711690.0,2866.9712500000005,<=,left,None,-5.66202,419549.0,419549
1,3,1-S7,1-S8,1-L8,1-S4,Column_7,940924.0,3015.1631250000005,<=,left,None,-5.72366,418796.0,418796
1,4,1-S8,1-S12,1-S9,1-S7,Column_5,51202.30078125,92.23312500000002,<=,left,None,-5.74738,418121.0,418121
1,5,1-S12,1-L0,1-S24,1-S8,Column_0,973.3619995117188,36.755625000000016,<=,left,None,-5.38105,52003.0,52003
1,6,1-L0,,,1-S12,,,,,,,-5.707708208404916,1601.0,1601
1,6,1-S24,1-S36,1-L25,1-S12,Column_5,197.70799255371094,77.36562500000002,<=,left,None,-5.37058,50402.0,50402
1,7,1-S36,1-L13,1-S37,1-S24,Column_6,28.48349952697754,38.165357142857154,<=,left,None,-5.36434,48748.0,48748
1,8,1-L13,,,1-S36,,,,,,,-5.382182872402685,31922.0,31922
1,8,1-S37,1-S38,1-L38,1-S36,Column_7,287.6369934082031,38.74937500000001,<=,left,None,-5.33021,16826.0,16826
1,9,1-S38,1-L37,1-L39,1-S37,Column_7,282.0299987792969,38.361250000000005,<=,left,None,-5.19789,3227.0,3227
1,10,1-L37,,,1-S38,,,,,,,-5.340331350085771,1622.0,1622
1,10,1-L39,,,1-S38,,,,,,,-5.051079064307842,1605.0,1605
1,9,1-L38,,,1-S37,,,,,,,-5.361265963629315,13599.0,13599
