tree_index,node_depth,node_index,left_child,right_child,parent_index,split_feature,split_gain,threshold,decision_type,missing_direction,missing_type,value,weight,count
0,1,0-S0,0-S9,0-S1,,Column_24,5630960128.0,154.50000000000003,<=,left,None,40.2857,0.0,20108032
0,2,0-S9,0-S32,0-S18,0-S0,Column_25,121831000.0,141.50000000000003,<=,left,None,21.561,3971340.0,3971341
0,3,0-S32,0-S43,0-S33,0-S9,Column_18,3693290.0,139.50000000000003,<=,left,None,19.0321,2368770.0,2368765
0,4,0-S43,0-S47,0-S45,0-S32,Column_26,630405.0,150.50000000000003,<=,left,None,18.7543,2040900.0000000002,2040904
0,5,0-S47,0-S56,0-S48,0-S43,Column_24,313689.0,125.50000000000001,<=,left,None,18.7328,2031080.0000000002,2031082
0,6,0-S56,0-L0,0-L57,0-S47,Column_27,44503.80078125,133.50000000000003,<=,left,None,18.5517,1202220.0,1202221
0,7,0-L0,,,0-S56,,,,,,,18.54371412560411,1195582.0,1195582
0,7,0-L57,,,0-S56,,,,,,,19.984911378801264,6639.0,6639
0,6,0-S48,0-L48,0-L49,0-S47,Column_48,8028220.0,61.00000000000001,<=,left,None,18.9955,828861.0,828861
0,7,0-L48,,,0-S48,,,,,,,60.19274323510547,1455.0,1455
0,7,0-L49,,,0-S48,,,,,,,18.923093500596394,827406.0,827406
0,5,0-S45,0-S60,0-S46,0-S43,Column_40,326742.0,146.50000000000003,<=,left,None,23.1907,9822.0,9822
0,6,0-S60,0-L44,0-L61,0-S45,Column_27,968.1480102539062,187.50000000000003,<=,left,None,18.5049,3126.0,3126
0,7,0-L44,,,0-S60,,,,,,,18.265228997187247,1952.0,1952
0,7,0-L61,,,0-S60,,,,,,,18.903300328746003,1174.0,1174
0,6,0-S46,0-L46,0-L47,0-S45,Column_26,378069.0,215.50000000000003,<=,left,None,25.3783,6696.0,6696
0,7,0-L46,,,0-S46,,,,,,,28.173313055570766,4621.0,4621
0,7,0-L47,,,0-S46,,,,,,,19.15370864872397,2075.0,2075
0,4,0-S33,0-S34,0-S35,0-S32,Column_48,3444520.0,74.50000000000001,<=,left,None,20.7614,327861.0,327861
0,5,0-S34,0-S58,0-S55,0-S33,Column_24,4015430.0,135.50000000000003,<=,left,None,39.8876,2876.0,2876
0,6,0-S58,0-L33,0-L59,0-S34,Column_23,14931.0,137.50000000000003,<=,left,None,19.7712,1482.0,1482
0,7,0-L33,,,0-S58,,,,,,,18.99667856363257,1242.0,1242
0,7,0-L59,,,0-S58,,,,,,,23.77944856824791,240.0,240
0,6,0-S55,0-L35,0-L56,0-S34,Column_26,50264.0,135.50000000000003,<=,left,None,61.2739,1394.0,1394
0,7,0-L35,,,0-S55,,,,,,,53.51089698916175,217.0,217
0,7,0-L56,,,0-S55,,,,,,,62.7051133479313,1177.0,1177
0,5,0-S35,0-S57,0-S41,0-S33,Column_0,3075260.0,61.00000000000001,<=,left,None,20.5922,324985.0,324985
0,6,0-S57,0-L34,0-L58,0-S35,Column_24,28987.69921875,140.50000000000003,<=,left,None,62.1407,548.0,548
0,7,0-L34,,,0-S57,,,,,,,58.26231726558342,285.0,285
0,7,0-L58,,,0-S57,,,,,,,66.3434305297998,263.0,263
0,6,0-S41,0-L36,0-L42,0-S35,Column_2,1031210.0,139.50000000000003,<=,left,None,20.522,324437.0,324437
0,7,0-L36,,,0-S41,,,,,,,18.93510807810609,90849.0,90849
0,7,0-L42,,,0-S41,,,,,,,21.13917008112565,233588.0,233588
0,3,0-S18,0-S36,0-S19,0-S9,Column_48,40438000.0,88.50000000000001,<=,left,None,25.2989,1602580.0,1602576
0,4,0-S36,0-S59,0-S44,0-S18,Column_15,2934750.0,137.50000000000003,<=,left,None,57.853,11672.0,11672
0,5,0-S59,0-L10,0-L60,0-S36,Column_23,4226.56005859375,121.50000000000001,<=,left,None,20.2068,605.0,605
0,6,0-L10,,,0-S59,,,,,,,19.12136009430241,391.0,391
0,6,0-L60,,,0-S59,,,,,,,22.190155541539134,214.0,214
0,5,0-S44,0-S53,0-S50,0-S36,Column_0,375374.0,156.50000000000003,<=,left,None,59.911,11067.0,11067
0,6,0-S53,0-L37,0-L54,0-S44,Column_24,128200.0,148.50000000000003,<=,left,None,60.7199,10415.0,10415
0,7,0-L37,,,0-S53,,,,,,,58.127841083689596,3758.0,3758
0,7,0-L54,,,0-S53,,,,,,,62.18319476058647,6657.0,6657
