tree_index,node_depth,node_index,left_child,right_child,parent_index,split_feature,split_gain,threshold,decision_type,missing_direction,missing_type,value,weight,count
0,1,0-S0,0-S8,0-S1,,Column_9,312320000000.0,2321.0000000000005,<=,left,None,27.4399,0.0,14595491
0,2,0-S8,0-S31,0-S24,0-S0,Column_9,4889529856.0,2207.0000000000005,<=,left,None,20.4637,14231500.000000002,14231476
0,3,0-S31,0-S119,0-S49,0-S8,Column_8,918492032.0,2085.0000000000005,<=,left,None,20.1892,14196500.0,14196457
0,4,0-S119,0-S235,0-S126,0-S31,Column_9,45547100.0,252.25000000000003,<=,left,None,20.0437,14144400.0,14144385
0,5,0-S235,0-S285,0-S249,0-S119,Column_3,756167.0,242.75000000000003,<=,left,None,19.5271,7320780.0,7320784
0,6,0-S285,0-S287,0-L286,0-S235,Column_10,59354.1015625,2193.0000000000005,<=,left,None,19.4991,6745160.0,6745164
0,7,0-S287,0-S306,0-S288,0-S285,Column_9,51528.0,238.25000000000003,<=,left,None,19.4988,6744240.0,6744239
0,8,0-S306,0-S329,0-S310,0-S287,Column_0,12897.599609375,229.25000000000003,<=,left,None,19.4938,6515060.0,6515060
0,9,0-S329,0-S332,0-S330,0-S306,Column_18,2953.679931640625,2061.0000000000005,<=,left,None,19.4899,6002340.0,6002337
0,10,0-S332,0-L0,0-L333,0-S329,Column_18,2241.449951171875,142.25000000000003,<=,left,None,19.4896,5994450.0,5994449
0,11,0-L0,,,0-S332,,,,,,,19.517192241385516,303874.0,303874
0,11,0-L333,,,0-S332,,,,,,,19.48816531711845,5690575.0,5690575
0,10,0-S330,0-L330,0-L331,0-S329,Column_10,3790.429931640625,247.25000000000003,<=,left,None,19.6868,7888.0,7888
0,11,0-L330,,,0-S330,,,,,,,19.61721208703218,7152.0,7152
0,11,0-L331,,,0-S330,,,,,,,20.370141773073442,736.0,736
0,9,0-S310,0-S314,0-S318,0-S306,Column_18,10956.599609375,269.25000000000006,<=,left,None,19.5401,512723.0,512723
0,10,0-S314,0-L307,0-L315,0-S310,Column_18,7514.7001953125,166.25000000000003,<=,left,None,19.5306,490540.0,490540
0,11,0-L307,,,0-S314,,,,,,,19.84651663898952,7028.0,7028
0,11,0-L315,,,0-S314,,,,,,,19.526053603573118,483512.0,483512
0,10,0-S318,0-L311,0-L319,0-S310,Column_15,5789.27978515625,2453.0000000000005,<=,left,None,19.7496,22183.0,22183
0,11,0-L311,,,0-S318,,,,,,,19.714004941665657,21103.0,21103
0,11,0-L319,,,0-S318,,,,,,,20.4492169363784,1080.0,1080
0,8,0-S288,0-L288,0-S289,0-S287,Column_18,60999.5,169.25000000000003,<=,left,None,19.6384,229179.0,229179
0,9,0-L288,,,0-S288,,,,,,,22.837961527121372,532.0,532
0,9,0-S289,0-S290,0-S325,0-S288,Column_2,58227.1015625,167.25000000000003,<=,left,None,19.631,228647.0,228647
0,10,0-S290,0-L289,0-L291,0-S289,Column_18,141344.0,238.25000000000003,<=,left,None,21.1392,2271.0,2271
0,11,0-L289,,,0-S290,,,,,,,19.611227674196677,1597.0,1597
0,11,0-L291,,,0-S290,,,,,,,24.76403461565197,674.0,674
0,10,0-S325,0-L290,0-L326,0-S289,Column_1,3931.68994140625,239.25000000000003,<=,left,None,19.6158,226376.0,226376
0,11,0-L290,,,0-S325,,,,,,,19.571932351366076,107045.0,107045
0,11,0-L326,,,0-S325,,,,,,,19.655276988283806,119331.0,119331
0,7,0-L286,,,0-S285,,,,,,,21.896483232937562,925.0,925
0,6,0-S249,0-S260,0-S255,0-S235,Column_0,324523.0,2042.5000000000002,<=,left,None,19.8552,575620.0,575620
0,7,0-S260,0-S261,0-S274,0-S249,Column_18,152951.0,178.25000000000003,<=,left,None,19.8301,568443.0,568443
0,8,0-S261,0-S267,0-S262,0-S260,Column_9,461143.0,245.75000000000003,<=,left,None,20.7287,16405.0,16405
0,9,0-S267,0-S268,0-S326,0-S261,Column_3,111798.0,276.75000000000006,<=,left,None,20.2388,14968.0,14968
0,10,0-S268,0-L236,0-L269,0-S267,Column_8,234758.0,249.75000000000003,<=,left,None,21.2725,5752.0,5752
0,11,0-L236,,,0-S268,,,,,,,20.65687435210004,5208.0,5208
0,11,0-L269,,,0-S268,,,,,,,27.167090010891766,544.0,544
0,10,0-S326,0-L268,0-L327,0-S267,Column_9,3381.219970703125,185.25000000000003,<=,left,None,19.5942,9216.0,9216
0,11,0-L268,,,0-S326,,,,,,,19.522539294456813,8084.0,8084
0,11,0-L327,,,0-S326,,,,,,,20.110329486624497,1132.0,1132
0,9,0-S262,0-L262,0-L263,0-S261,Column_10,172188.0,247.25000000000003,<=,left,None,25.8319,1437.0,1437
0,10,0-L262,,,0-S262,,,,,,,22.461578088491983,695.0,695
0,10,0-L263,,,0-S262,,,,,,,28.990497128631805,742.0,742
0,8,0-S274,0-S277,0-S275,0-S260,Column_0,84629.1015625,307.25000000000006,<=,left,None,19.8034,552038.0,552038
0,9,0-S277,0-S296,0-S278,0-S274,Column_18,83764.3984375,247.25000000000003,<=,left,None,19.7667,502733.0,502733
0,10,0-S296,0-L261,0-L297,0-S277,Column_8,36480.30078125,294.25000000000006,<=,left,None,19.661,287266.0,287266
0,11,0-L261,,,0-S296,,,,,,,19.651245604494846,284866.0,284866
0,11,0-L297,,,0-S296,,,,,,,20.826032348435128,2400.0,2400
0,10,0-S278,0-L278,0-L279,0-S277,Column_14,112164.0,191.75000000000003,<=,left,None,19.9077,215467.0,215467
0,11,0-L278,,,0-S278,,,,,,,22.469669457413275,1514.0,1514
0,11,0-L279,,,0-S278,,,,,,,19.88955781714228,213953.0,213953
0,9,0-S275,0-S276,0-S316,0-S274,Column_0,167243.0,366.75000000000006,<=,left,None,20.1772,49305.0,49305
0,10,0-S276,0-L275,0-L277,0-S275,Column_5,116076.0,313.25000000000006,<=,left,None,20.8523,19668.0,19668
0,11,0-L275,,,0-S276,,,,,,,20.350113388686907,13293.0,13293
0,11,0-L277,,,0-S276,,,,,,,21.900002388725294,6375.0,6375
0,10,0-S316,0-L276,0-L317,0-S275,Column_9,6511.240234375,218.25000000000003,<=,left,None,19.7294,29637.0,29637
0,11,0-L276,,,0-S316,,,,,,,19.585323843068018,14861.0,14861
0,11,0-L317,,,0-S316,,,,,,,19.874616559476692,14776.0,14776
0,7,0-S255,0-S271,0-S256,0-S249,Column_9,229101.0,242.75000000000003,<=,left,None,21.8491,7177.0,7177
0,8,0-S271,0-S272,0-S309,0-S255,Column_1,86951.703125,2529.0000000000005,<=,left,None,21.0077,5744.0,5744
0,9,0-S272,0-S273,0-L273,0-S271,Column_16,106173.0,248.25000000000003,<=,left,None,22.4315,2298.0,2298
0,10,0-S273,0-L250,0-L274,0-S272,Column_8,178834.0,216.25000000000003,<=,left,None,24.009,1433.0,1433
0,11,0-L250,,,0-S273,,,,,,,21.454678343772557,902.0,902
0,11,0-L274,,,0-S273,,,,,,,28.35005783979229,531.0,531
0,10,0-L273,,,0-S272,,,,,,,19.823058631710555,865.0,865
0,9,0-S309,0-L272,0-S323,0-S271,Column_3,11582.400390625,2521.0000000000005,<=,left,None,20.0593,3446.0,3446
0,10,0-L272,,,0-S309,,,,,,,21.212309998047324,652.0,652
0,10,0-S323,0-L310,0-L324,0-S309,Column_8,4177.81982421875,232.25000000000003,<=,left,None,19.7919,2794.0,2794
0,11,0-L310,,,0-S323,,,,,,,19.57407325181557,2105.0,2105
0,11,0-L324,,,0-S323,,,,,,,20.46454529438098,689.0,689
0,8,0-S256,0-L256,0-L257,0-S255,Column_0,352010.0,2553.0000000000005,<=,left,None,25.2235,1433.0,1433
0,9,0-L256,,,0-S256,,,,,,,31.124888384005054,552.0,552
0,9,0-L257,,,0-S256,,,,,,,21.525946082650655,881.0,881
0,5,0-S126,0-S167,0-S127,0-S119,Column_0,39963800.0,2042.5000000000002,<=,left,None,20.5979,6823600.0,6823601
0,6,0-S167,0-S183,0-S179,0-S126,Column_14,8440140.0,2469.0000000000005,<=,left,None,20.5107,6725250.0,6725252
0,7,0-S183,0-S200,0-S184,0-S167,Column_8,4446600.0,307.25000000000006,<=,left,None,20.4848,6685080.0,6685081
0,8,0-S200,0-S212,0-S252,0-S183,Column_18,1961900.0,187.25000000000003,<=,left,None,20.095,1873500.0,1873499
0,9,0-S212,0-S280,0-S242,0-S200,Column_8,1019510.0,252.75000000000003,<=,left,None,23.9668,11567.0,11567
0,10,0-S280,0-L120,0-L281,0-S212,Column_8,73852.6015625,240.25000000000003,<=,left,None,20.3339,4309.0,4309
0,11,0-L120,,,0-S280,,,,,,,19.60324582248446,3193.0,3193
0,11,0-L281,,,0-S280,,,,,,,22.427929137695966,1116.0,1116
0,10,0-S242,0-L213,0-L243,0-S212,Column_0,541471.0,251.75000000000003,<=,left,None,26.124,7258.0,7258
0,11,0-L213,,,0-S242,,,,,,,20.490257669465294,1254.0,1254
0,11,0-L243,,,0-S242,,,,,,,27.30137652049572,6004.0,6004
0,9,0-S252,0-S257,0-L253,0-S200,Column_10,294819.0,2049.0000000000005,<=,left,None,20.071,1861930.0,1861932
0,10,0-S257,0-L201,0-L258,0-S252,Column_18,197643.0,204.25000000000003,<=,left,None,20.0687,1861270.0,1861267
0,11,0-L201,,,0-S257,,,,,,,20.95686441272057,22062.0,22062
0,11,0-L258,,,0-S257,,,,,,,20.058080909640452,1839205.0,1839205
0,10,0-L253,,,0-S252,,,,,,,26.349592077737768,665.0,665
0,8,0-S184,0-S207,0-S195,0-S183,Column_18,4655460.0,359.25000000000006,<=,left,None,20.6365,4811580.0,4811582
0,9,0-S207,0-S258,0-S214,0-S184,Column_5,1488310.0,316.25000000000006,<=,left,None,21.1415,1214030.0,1214030
0,10,0-S258,0-L184,0-L259,0-S207,Column_9,184340.0,306.25000000000006,<=,left,None,20.4965,252140.0,252140
0,11,0-L184,,,0-S258,,,,,,,19.910964595163048,40248.0,40248
0,11,0-L259,,,0-S258,,,,,,,20.607799032996283,211892.0,211892
0,10,0-S214,0-L208,0-L215,0-S207,Column_5,927517.0,514.2500000000001,<=,left,None,21.3105,961890.0,961890
0,11,0-L208,,,0-S214,,,,,,,21.38554601369424,902660.0,902660
0,11,0-L215,,,0-S214,,,,,,,20.16726848003794,59230.0,59230
0,9,0-S195,0-L185,0-S232,0-S184,Column_0,2757940.0,151.25000000000003,<=,left,None,20.4661,3597550.0,3597552
0,10,0-L185,,,0-S195,,,,,,,39.968910689202765,644.0,644
0,10,0-S232,0-L196,0-L233,0-S195,Column_18,778856.0,429.25000000000006,<=,left,None,20.4626,3596910.0000000005,3596908
0,11,0-L196,,,0-S232,,,,,,,20.655438398655637,1227803.0,1227803
0,11,0-L233,,,0-S232,,,,,,,20.36273228252718,2369105.0,2369105
0,7,0-S179,0-S180,0-S225,0-S167,Column_14,4862840.0,2645.0000000000005,<=,left,None,24.82,40171.0,40171
0,8,0-S180,0-S185,0-S264,0-S179,Column_1,6051780.0,409.25000000000006,<=,left,None,30.0319,11400.0,11400
0,9,0-S185,0-S209,0-S197,0-S180,Column_10,3835570.0,2449.0000000000005,<=,left,None,35.4625,7016.0,7016
0,10,0-S209,0-L168,0-L210,0-S185,Column_18,1242860.0,2461.0000000000005,<=,left,None,31.5385,5329.0,5329
0,11,0-L168,,,0-S209,,,,,,,19.947369607040976,712.0,712
0,11,0-L210,,,0-S209,,,,,,,33.326832396603905,4617.0,4617
0,10,0-S197,0-L186,0-L198,0-S185,Column_9,2503670.0,344.25000000000006,<=,left,None,47.8511,1687.0,1687
0,11,0-L186,,,0-S197,,,,,,,36.22255739201572,834.0,834
0,11,0-L198,,,0-S197,,,,,,,59.2042113367246,853.0,853
0,9,0-S264,0-L181,0-S305,0-S180,Column_1,122598.0,449.25000000000006,<=,left,None,21.3411,4384.0,4384
0,10,0-L181,,,0-S264,,,,,,,25.60997410635528,527.0,527
0,10,0-S305,0-L265,0-L306,0-S264,Column_13,13106.099609375,2559.0000000000005,<=,left,None,20.7583,3857.0,3857
0,11,0-L265,,,0-S305,,,,,,,20.375695347375927,2615.0,2615
0,11,0-L306,,,0-S305,,,,,,,21.567311213609116,1242.0,1242
0,8,0-S225,0-S286,0-S226,0-S179,Column_9,809209.0,393.75000000000006,<=,left,None,22.7549,28771.0,28771
0,9,0-S286,0-S308,0-L287,0-S225,Column_8,59313.69921875,387.75000000000006,<=,left,None,20.3328,8599.0,8599
0,10,0-S308,0-L180,0-L309,0-S286,Column_14,12033.7998046875,2721.0000000000005,<=,left,None,20.0489,7603.0,7603
0,11,0-L180,,,0-S308,,,,,,,20.56983368831351,2660.0,2660
0,11,0-L309,,,0-S308,,,,,,,19.76955407335718,4943.0,4943
0,10,0-L287,,,0-S286,,,,,,,22.50341778046736,996.0,996
0,9,0-S226,0-S227,0-S263,0-S225,Column_14,866009.0,2901.0000000000005,<=,left,None,23.7876,20172.0,20172
0,10,0-S227,0-L226,0-L228,0-S226,Column_18,841892.0,2557.0000000000005,<=,left,None,25.8379,9601.0,9601
0,11,0-L226,,,0-S227,,,,,,,20.754885208472324,2225.0,2225
0,11,0-L228,,,0-S227,,,,,,,27.371702146992497,7376.0,7376
0,10,0-S263,0-L227,0-L264,0-S226,Column_9,134019.0,580.2500000000001,<=,left,None,21.9257,10571.0,10571
0,11,0-L227,,,0-S263,,,,,,,20.6508923416688,4332.0,4332
0,11,0-L264,,,0-S263,,,,,,,22.811533683729298,6239.0,6239
0,6,0-S127,0-S173,0-S128,0-S126,Column_10,56209700.0,2049.0000000000005,<=,left,None,26.5653,98349.0,98349
0,7,0-S173,0-S174,0-S198,0-S127,Column_9,5744070.0,436.25000000000006,<=,left,None,24.8376,92893.0,92893
0,8,0-S174,0-S175,0-S233,0-S173,Column_0,12687500.0,2637.0000000000005,<=,left,None,27.8122,35600.0,35600
0,9,0-S175,0-S243,0-S191,0-S174,Column_0,7309380.0,2443.0000000000005,<=,left,None,33.0567,19058.0,19058
0,10,0-S243,0-L127,0-L244,0-S175,Column_0,530364.0,2189.0000000000005,<=,left,None,24.4878,6044.0,6044
0,11,0-L127,,,0-S243,,,,,,,21.300571956429867,2625.0,2625
0,11,0-L244,,,0-S243,,,,,,,26.935664285819122,3419.0,3419
0,10,0-S191,0-L176,0-L192,0-S175,Column_0,2972320.0,2589.0000000000005,<=,left,None,37.0362,13014.0,13014
0,11,0-L176,,,0-S191,,,,,,,40.28003452619654,8572.0,8572
0,11,0-L192,,,0-S191,,,,,,,30.77537710880791,4442.0,4442
0,9,0-S233,0-S302,0-S234,0-S174,Column_8,763827.0,389.25000000000006,<=,left,None,21.7702,16542.0,16542
0,10,0-S302,0-L175,0-L303,0-S233,Column_1,18217.5,2647.0000000000005,<=,left,None,20.1952,10312.0,10312
0,11,0-L175,,,0-S302,,,,,,,20.87052689550328,2688.0,2688
0,11,0-L303,,,0-S302,,,,,,,19.957740190160507,7624.0,7624
0,10,0-S234,0-L234,0-L235,0-S233,Column_0,2232490.0,2717.0000000000005,<=,left,None,24.3775,6230.0,6230
0,11,0-L234,,,0-S234,,,,,,,35.960822055061,1195.0,1195
0,11,0-L235,,,0-S234,,,,,,,21.627570594140835,5035.0,5035
0,8,0-S198,0-S210,0-S199,0-S173,Column_17,2493660.0,2032.5000000000002,<=,left,None,22.9893,57293.0,57293
0,9,0-S210,0-S269,0-S211,0-S198,Column_0,1196430.0,2318.0000000000005,<=,left,None,22.4985,53936.0,53936
0,10,0-S269,0-L174,0-L270,0-S210,Column_10,102962.0,1952.5000000000002,<=,left,None,20.4998,17828.0,17828
0,11,0-L174,,,0-S269,,,,,,,20.24266169179101,15798.0,15798
0,11,0-L270,,,0-S269,,,,,,,22.502376735415663,2030.0,2030
0,10,0-S211,0-L211,0-L212,0-S210,Column_9,1579650.0,709.2500000000001,<=,left,None,23.4855,36108.0,36108
0,11,0-L211,,,0-S211,,,,,,,25.25896713355007,19966.0,19966
0,11,0-L212,,,0-S211,,,,,,,21.29202107962139,16142.0,16142
0,9,0-S199,0-S293,0-L200,0-S198,Column_8,8330010.0,1975.5000000000002,<=,left,None,30.8741,3357.0,3357
0,10,0-S293,0-L199,0-L294,0-S199,Column_18,49364.69921875,2639.0000000000005,<=,left,None,21.5278,2405.0,2405
0,11,0-L199,,,0-S293,,,,,,,20.602561631649813,1638.0,1638
0,11,0-L294,,,0-S293,,,,,,,23.50813213074848,767.0,767
0,10,0-L200,,,0-S199,,,,,,,54.47236179994073,952.0,952
0,7,0-S128,0-S187,0-S129,0-S127,Column_17,48956100.0,2032.5000000000002,<=,left,None,55.9781,5456.0,5456
0,8,0-S187,0-L128,0-S297,0-S128,Column_17,3408010.0,445.25000000000006,<=,left,None,26.2748,2591.0,2591
0,9,0-L128,,,0-S187,,,,,,,47.55979950970219,531.0,531
0,9,0-S297,0-S338,0-L298,0-S187,Column_17,31960.30078125,1942.5000000000002,<=,left,None,20.7833,2060.0,2060
0,10,0-S338,0-L188,0-L339,0-S297,Column_16,1300.8599853515625,591.2500000000001,<=,left,None,19.9811,1407.0,1407
0,11,0-L188,,,0-S338,,,,,,,19.67336170922524,746.0,746
0,11,0-L339,,,0-S338,,,,,,,20.336259870796923,661.0,661
0,10,0-L298,,,0-S297,,,,,,,22.51781191430991,653.0,653
0,8,0-S129,0-S133,0-S228,0-S128,Column_0,84304096.0,2189.0000000000005,<=,left,None,82.8345,2865.0,2865
0,9,0-S133,0-L129,0-L134,0-S129,Column_2,35356800.0,2089.0000000000005,<=,left,None,133.17,1455.0,1455
0,10,0-L129,,,0-S133,,,,,,,176.7563124882546,774.0,774
0,10,0-L134,,,0-S133,,,,,,,83.5298965374197,681.0,681
0,9,0-S228,0-L130,0-L229,0-S129,Column_10,780443.0,2193.0000000000005,<=,left,None,30.8661,1410.0,1410
0,10,0-L130,,,0-S228,,,,,,,39.60503748082278,552.0,552
0,10,0-L229,,,0-S228,,,,,,,25.238639020242108,858.0,858
0,4,0-S49,0-S130,0-S71,0-S31,Column_0,388924000.0,2042.5000000000002,<=,left,None,59.719,52072.0,52072
0,5,0-S130,0-L32,0-S251,0-S49,Column_0,37250100.0,227.25000000000003,<=,left,None,23.7643,17672.0,17672
0,6,0-L32,,,0-S130,,,,,,,84.38025535252865,857.0,857
0,6,0-S251,0-L131,0-S282,0-S130,Column_0,311393.0,292.25000000000006,<=,left,None,20.6727,16815.0,16815
0,7,0-L131,,,0-S251,,,,,,,26.23846299419035,849.0,849
0,7,0-S282,0-S283,0-S298,0-S251,Column_4,63989.8984375,410.25000000000006,<=,left,None,20.3768,15966.0,15966
0,8,0-S283,0-L252,0-L284,0-S282,Column_18,86956.3984375,954.5000000000001,<=,left,None,22.6366,1047.0,1047
0,9,0-L252,,,0-S283,,,,,,,19.934194058986215,526.0,526
0,9,0-L284,,,0-S283,,,,,,,25.371236709058394,521.0,521
0,8,0-S298,0-S328,0-S299,0-S282,Column_0,26797.80078125,1950.5000000000002,<=,left,None,20.2185,14919.0,14919
0,9,0-S328,0-S336,0-S334,0-S298,Column_7,2998.93994140625,2229.0000000000005,<=,left,None,20.0415,12497.0,12497
0,10,0-S336,0-L283,0-L337,0-S328,Column_17,1365.1199951171875,540.2500000000001,<=,left,None,19.9279,8151.0,8151
0,11,0-L283,,,0-S336,,,,,,,20.194993087154735,1769.0,1769
0,11,0-L337,,,0-S336,,,,,,,19.854703635785615,6382.0,6382
0,10,0-S334,0-L329,0-L335,0-S328,Column_16,1942.31005859375,706.2500000000001,<=,left,None,20.2557,4346.0,4346
0,11,0-L329,,,0-S334,,,,,,,19.9761486485305,1644.0,1644
0,11,0-L335,,,0-S334,,,,,,,20.427638077544188,2702.0,2702
0,9,0-S299,0-L299,0-L300,0-S298,Column_8,134279.0,2221.0000000000005,<=,left,None,21.1333,2422.0,2422
0,10,0-L299,,,0-S299,,,,,,,24.223396027676948,826.0,826
0,10,0-L300,,,0-S299,,,,,,,19.53609415010748,1596.0,1596
0,5,0-S71,0-S72,0-S74,0-S49,Column_8,176040000.0,2221.0000000000005,<=,left,None,78.1894,34400.0,34400
0,6,0-S72,0-S79,0-S73,0-S71,Column_18,529087008.0,2061.0000000000005,<=,left,None,105.232,13194.0,13194
0,7,0-S79,0-L50,0-S244,0-S72,Column_18,168052992.0,337.25000000000006,<=,left,None,41.3725,6155.0,6155
0,8,0-L50,,,0-S79,,,,,,,170.0845547929402,786.0,786
0,8,0-S244,0-S254,0-L245,0-S79,Column_18,462370.0,1959.5000000000002,<=,left,None,22.5136,5369.0,5369
0,9,0-S254,0-L80,0-S279,0-S244,Column_15,252897.0,460.25000000000006,<=,left,None,21.4484,4676.0,4676
0,10,0-L80,,,0-S254,,,,,,,27.44240600212785,552.0,552
0,10,0-S279,0-L255,0-L280,0-S254,Column_18,77664.8984375,493.25000000000006,<=,left,None,20.6462,4124.0,4124
0,11,0-L255,,,0-S279,,,,,,,23.041665714555975,935.0,935
0,11,0-L280,,,0-S279,,,,,,,19.944992056874103,3189.0,3189
0,9,0-L245,,,0-S244,,,,,,,29.69969947263408,693.0,693
0,7,0-S73,0-S76,0-S194,0-S72,Column_1,375209984.0,2339.0000000000005,<=,left,None,161.065,7039.0,7039
0,8,0-S76,0-S94,0-L77,0-S73,Column_14,238599008.0,2345.0000000000005,<=,left,None,197.736,5483.0,5483
0,9,0-S94,0-L73,0-S116,0-S76,Column_14,105818000.0,2085.0000000000005,<=,left,None,221.763,4771.0,4771
0,10,0-L73,,,0-S94,,,,,,,100.96723415425711,569.0,569
0,10,0-S116,0-L95,0-L117,0-S94,Column_6,56625600.0,2215.0000000000005,<=,left,None,238.105,4202.0,4202
0,11,0-L95,,,0-S116,,,,,,,254.16526044903728,3459.0,3459
0,11,0-L117,,,0-S116,,,,,,,163.1947026159071,743.0,743
0,9,0-L77,,,0-S76,,,,,,,36.70517608086759,712.0,712
0,8,0-S194,0-L74,0-L195,0-S73,Column_13,2797210.0,2329.0000000000005,<=,left,None,31.828,1556.0,1556
0,9,0-L74,,,0-S194,,,,,,,45.9273986264708,693.0,693
0,9,0-L195,,,0-S194,,,,,,,20.500189924463438,863.0,863
0,6,0-S74,0-S75,0-S140,0-S71,Column_9,288424000.0,1883.5000000000002,<=,left,None,61.3618,21206.0,21206
0,7,0-S75,0-S109,0-L76,0-S74,Column_12,404585984.0,2459.0000000000005,<=,left,None,101.85,9002.0,9002
0,8,0-S109,0-S110,0-S160,0-S75,Column_18,72713200.0,441.25000000000006,<=,left,None,85.6785,8450.0,8450
0,9,0-S110,0-S111,0-S142,0-S109,Column_0,137944000.0,2637.0000000000005,<=,left,None,111.685,4485.0,4485
0,10,0-S111,0-L72,0-L112,0-S110,Column_12,122056000.0,243.25000000000003,<=,left,None,158.4,2494.0,2494
