tree_index,node_depth,node_index,left_child,right_child,parent_index,split_feature,split_gain,threshold,decision_type,missing_direction,missing_type,value,weight,count
0,1,0-S0,0-S25,0-S1,,Column_9,566974976.0,167.25000000000003,<=,left,None,45.8396,0.0,1035192
0,2,0-S25,0-S82,0-S42,0-S0,Column_8,1354330.0,167.25000000000003,<=,left,None,29.7105,321540.0,321540
0,3,0-S82,0-S164,0-S83,0-S25,Column_10,275489.0,177.25000000000003,<=,left,None,29.5949,316840.0,316840
0,4,0-S164,0-S188,0-S165,0-S82,Column_8,35422.30078125,165.75000000000003,<=,left,None,29.5594,314721.0,314721
0,5,0-S188,0-L0,0-S189,0-S164,Column_7,501.2569885253906,165.25000000000003,<=,left,None,29.5475,312877.0,312877
0,6,0-L0,,,0-S188,,,,,,,29.544655159000182,309096.0,309096
0,6,0-S189,0-L189,0-L190,0-S188,Column_8,243.71400451660156,142.25000000000003,<=,left,None,29.7792,3781.0,3781
0,7,0-L189,,,0-S189,,,,,,,29.48031346736682,1141.0,1141
0,7,0-L190,,,0-S189,,,,,,,29.91059490875826,2640.0,2640
0,5,0-S165,0-S186,0-L166,0-S164,Column_6,48194.19921875,167.25000000000003,<=,left,None,31.5939,1844.0,1844
0,6,0-S186,0-L165,0-L187,0-S165,Column_5,1764.2099609375,165.75000000000003,<=,left,None,30.0992,1319.0,1319
0,7,0-L165,,,0-S186,,,,,,,29.592264877673177,760.0,760
0,7,0-L187,,,0-S186,,,,,,,30.798796189255494,559.0,559
0,6,0-L166,,,0-S165,,,,,,,35.35742027021823,525.0,525
0,4,0-S83,0-S185,0-L84,0-S82,Column_9,629603.0,151.25000000000003,<=,left,None,34.8558,2119.0,2119
0,5,0-S185,0-L83,0-L186,0-S83,Column_15,2035.0799560546875,194.25000000000003,<=,left,None,30.2109,1582.0,1582
0,6,0-L83,,,0-S185,,,,,,,29.717889922229407,908.0,908
0,6,0-L186,,,0-S185,,,,,,,30.883481168362987,674.0,674
0,5,0-L84,,,0-S83,,,,,,,48.54111040025618,537.0,537
0,3,0-S42,0-S93,0-S128,0-S25,Column_18,699142.0,147.25000000000003,<=,left,None,37.5067,4700.0,4700
0,4,0-S93,0-S169,0-L94,0-S42,Column_9,191359.0,145.25000000000003,<=,left,None,44.6687,1800.0,1800
0,5,0-S169,0-L26,0-L170,0-S93,Column_6,31289.099609375,181.25000000000003,<=,left,None,41.4095,1227.0,1227
0,6,0-L26,,,0-S169,,,,,,,43.43844664271636,700.0,700
0,6,0-L170,,,0-S169,,,,,,,38.718082039513675,527.0,527
0,5,0-L94,,,0-S93,,,,,,,51.64619554982767,573.0,573
0,4,0-S128,0-S184,0-S129,0-S42,Column_1,78887.5,168.25000000000003,<=,left,None,33.062,2900.0,2900
0,5,0-S184,0-L43,0-L185,0-S128,Column_9,2609.8701171875,165.25000000000003,<=,left,None,30.32,1267.0,1267
0,6,0-L43,,,0-S184,,,,,,,29.70553464379336,724.0,724
0,6,0-L185,,,0-S184,,,,,,,31.149750266197792,543.0,543
