tree_index,node_depth,node_index,left_child,right_child,parent_index,split_feature,split_gain,threshold,decision_type,missing_direction,missing_type,value,weight,count
0,1,0-S0,0-S5,0-S1,,Column_8,13103500288.0,1205.5000000000002,<=,left,None,7.8368,0.0,14387925
0,2,0-S5,0-S48,0-S8,0-S0,Column_9,1650419968.0,1877.5000000000002,<=,left,None,7.19021,13821800.0,13821842
0,3,0-S48,0-S52,0-S75,0-S5,Column_9,111716000.0,1519.0000000000002,<=,left,None,7.14593,13801600.0,13801620
0,4,0-S52,0-S111,0-S87,0-S48,Column_7,98692600.0,1568.5000000000002,<=,left,None,7.13905,13794400.0,13794428
0,5,0-S111,0-S161,0-S127,0-S52,Column_9,28932000.0,1140.5000000000002,<=,left,None,7.12732,13770800.0,13770785
0,6,0-S161,0-S188,0-S162,0-S111,Column_5,9307740.0,1124.5000000000002,<=,left,None,7.12133,13749799.999999998,13749842
0,7,0-S188,0-S207,0-S189,0-S161,Column_10,4316170.0,1519.0000000000002,<=,left,None,7.11558,13690300.0,13690256
0,8,0-S207,0-S216,0-S248,0-S188,Column_6,2033470.0,1906.5000000000002,<=,left,None,7.1133,13670100.0,13670122
0,9,0-S216,0-S230,0-S217,0-S207,Column_12,1349110.0,1101.5000000000002,<=,left,None,7.11294,13669100.0,13669069
0,10,0-S230,0-L0,0-L231,0-S216,Column_7,636077.0,1190.5000000000002,<=,left,None,7.11083,13614400.0,13614405
0,11,0-L0,,,0-S230,,,,,,,7.110304855092697,13607137.0,13607137
0,11,0-L231,,,0-S230,,,,,,,8.100993658915604,7268.0,7268
0,10,0-S217,0-L217,0-L218,0-S216,Column_14,2987570.0,471.25000000000006,<=,left,None,7.63784,54664.0,54664
0,11,0-L217,,,0-S217,,,,,,,9.746883844642046,6617.0,6617
0,11,0-L218,,,0-S217,,,,,,,7.347385974286738,48047.0,48047
0,9,0-S248,0-L208,0-L249,0-S207,Column_2,263987.0,618.2500000000001,<=,left,None,11.7655,1053.0,1053
0,10,0-L208,,,0-S248,,,,,,,10.078054953316261,523.0,523
0,10,0-L249,,,0-S248,,,,,,,13.430731610100455,530.0,530
0,8,0-S189,0-S213,0-S190,0-S188,Column_9,4649010.0,906.2500000000001,<=,left,None,8.66454,20134.0,20134
0,9,0-S213,0-S227,0-S244,0-S189,Column_15,1367570.0,635.2500000000001,<=,left,None,8.13458,18163.0,18163
0,10,0-S227,0-L189,0-L228,0-S213,Column_6,810157.0,976.5000000000001,<=,left,None,9.78533,4295.0,4295
0,11,0-L189,,,0-S227,,,,,,,9.236260394761395,3759.0,3759
0,11,0-L228,,,0-S227,,,,,,,13.635944489493866,536.0,536
0,10,0-S244,0-L214,0-L245,0-S213,Column_12,331228.0,2201.0000000000005,<=,left,None,7.62334,13868.0,13868
0,11,0-L214,,,0-S244,,,,,,,8.295796172047265,5157.0,5157
0,11,0-L245,,,0-S244,,,,,,,7.225233676689085,8711.0,8711
0,9,0-S190,0-L190,0-S224,0-S189,Column_18,5556330.0,407.25000000000006,<=,left,None,13.5481,1971.0,1971
0,10,0-L190,,,0-S190,,,,,,,23.024555647280405,513.0,513
0,10,0-S224,0-L191,0-L225,0-S190,Column_7,867857.0,481.25000000000006,<=,left,None,10.213799999999999,1458.0,1458
0,11,0-L191,,,0-S224,,,,,,,13.276511280930391,606.0,606
0,11,0-L225,,,0-S224,,,,,,,8.035433249055574,852.0,852
0,7,0-S162,0-S163,0-S219,0-S161,Column_3,9860500.0,633.2500000000001,<=,left,None,8.44165,59586.0,59586
0,8,0-S163,0-S203,0-S164,0-S162,Column_5,14660500.0,1871.5000000000002,<=,left,None,11.1385,12108.0,12108
0,9,0-S203,0-S221,0-L204,0-S163,Column_1,2710430.0,1515.5000000000002,<=,left,None,8.81399,8660.0,8660
0,10,0-S221,0-L162,0-L222,0-S203,Column_16,1016030.0,1574.5000000000002,<=,left,None,8.28668,8024.0,8024
0,11,0-L162,,,0-S221,,,,,,,7.942237968076498,7405.0,7405
0,11,0-L222,,,0-S221,,,,,,,12.40717380950625,619.0,619
0,10,0-L204,,,0-S203,,,,,,,15.466735674156244,636.0,636
0,9,0-S164,0-S185,0-L165,0-S163,Column_8,14780900.0,568.2500000000001,<=,left,None,16.9768,3448.0,3448
0,10,0-S185,0-L164,0-L186,0-S164,Column_1,4394760.0,710.2500000000001,<=,left,None,13.9212,2887.0,2887
0,11,0-L164,,,0-S185,,,,,,,11.40356936732125,2105.0,2105
0,11,0-L186,,,0-S185,,,,,,,20.69827686645776,782.0,782
0,10,0-L165,,,0-S164,,,,,,,32.70156041105379,561.0,561
0,8,0-S219,0-S228,0-S237,0-S162,Column_0,1273810.0,805.2500000000001,<=,left,None,7.75389,47478.0,47478
0,9,0-S228,0-S249,0-S229,0-S219,Column_5,803995.0,1871.5000000000002,<=,left,None,8.78054,10539.0,10539
0,10,0-S249,0-L163,0-L250,0-S228,Column_13,260508.0,313.25000000000006,<=,left,None,7.82433,5093.0,5093
0,11,0-L163,,,0-S249,,,,,,,9.858093531916312,620.0,620
0,11,0-L250,,,0-S249,,,,,,,7.542428411480841,4473.0,4473
0,10,0-S229,0-L229,0-L230,0-S228,Column_3,1356290.0,1640.5000000000002,<=,left,None,9.67477,5446.0,5446
0,11,0-L229,,,0-S229,,,,,,,13.142527800442272,1026.0,1026
0,11,0-L230,,,0-S229,,,,,,,8.869806484911143,4420.0,4420
0,9,0-S237,0-S253,0-S240,0-S219,Column_12,533019.0,1860.0000000000002,<=,left,None,7.46097,36939.0,36939
0,10,0-S253,0-L220,0-L254,0-S237,Column_17,147038.0,165.25000000000003,<=,left,None,7.38738,35742.0,35742
0,11,0-L220,,,0-S253,,,,,,,9.101884164116651,552.0,552
0,11,0-L254,,,0-S253,,,,,,,7.360482681412062,35190.0,35190
0,10,0-S240,0-L238,0-L241,0-S237,Column_13,476606.0,2225.0000000000005,<=,left,None,9.65856,1197.0,1197
0,11,0-L238,,,0-S240,,,,,,,11.484956592318856,685.0,685
0,11,0-L241,,,0-S240,,,,,,,7.215028793309918,512.0,512
0,6,0-S127,0-S146,0-L128,0-S111,Column_5,22196200.0,1871.5000000000002,<=,left,None,11.0593,20943.0,20943
0,7,0-S146,0-S165,0-S187,0-S127,Column_0,14481500.0,484.25000000000006,<=,left,None,10.3491,20090.0,20090
0,8,0-S165,0-S179,0-S231,0-S146,Column_7,9203160.0,513.2500000000001,<=,left,None,15.4756,4724.0,4724
0,9,0-S179,0-S202,0-S180,0-S165,Column_13,5320740.0,1181.0000000000002,<=,left,None,19.0553,2977.0,2977
0,10,0-S202,0-L112,0-L203,0-S179,Column_17,2833220.0,452.25000000000006,<=,left,None,15.2026,1710.0,1710
0,11,0-L112,,,0-S202,,,,,,,18.55625856354281,1065.0,1065
0,11,0-L203,,,0-S202,,,,,,,9.665110354624002,645.0,645
0,10,0-S180,0-L180,0-L181,0-S179,Column_13,16269600.0,2077.0000000000005,<=,left,None,24.255,1267.0,1267
0,11,0-L180,,,0-S180,,,,,,,34.49478712547057,733.0,733
0,11,0-L181,,,0-S180,,,,,,,10.199176450553962,534.0,534
0,9,0-S231,0-S256,0-L232,0-S165,Column_8,631608.0,856.2500000000001,<=,left,None,9.37556,1747.0,1747
0,10,0-S256,0-L166,0-L257,0-S231,Column_3,113221.0,643.2500000000001,<=,left,None,8.04891,1218.0,1218
0,11,0-L166,,,0-S256,,,,,,,9.249550057073254,511.0,511
0,11,0-L257,,,0-S256,,,,,,,7.181117947243059,707.0,707
0,10,0-L232,,,0-S231,,,,,,,12.430104050469048,529.0,529
0,8,0-S187,0-S209,0-L188,0-S146,Column_10,4328550.0,1882.5000000000002,<=,left,None,8.77308,15366.0,15366
0,9,0-S209,0-L147,0-S235,0-S187,Column_18,1599020.0,262.25000000000006,<=,left,None,8.3658,14599.0,14599
0,10,0-L147,,,0-S209,,,,,,,14.148429913109734,517.0,517
0,10,0-S235,0-L210,0-L236,0-S209,Column_1,585647.0,1882.5000000000002,<=,left,None,8.1535,14082.0,14082
0,11,0-L210,,,0-S235,,,,,,,7.963210126718949,13067.0,13067
0,11,0-L236,,,0-S235,,,,,,,10.603205247947306,1015.0,1015
0,9,0-L188,,,0-S187,,,,,,,16.525350754128276,767.0,767
0,7,0-L128,,,0-S127,,,,,,,27.785963863700644,853.0,853
0,5,0-S87,0-S130,0-S157,0-S52,Column_0,52356600.0,740.2500000000001,<=,left,None,13.9733,23643.0,23643
0,6,0-S130,0-S147,0-S131,0-S87,Column_7,21301700.0,1892.5000000000002,<=,left,None,20.8199,8185.0,8185
0,7,0-S147,0-L53,0-S222,0-S130,Column_16,12560100.0,305.25000000000006,<=,left,None,12.9793,2634.0,2634
0,8,0-L53,,,0-S147,,,,,,,27.755299889881968,518.0,518
0,8,0-S222,0-L148,0-S255,0-S147,Column_1,944300.0,483.25000000000006,<=,left,None,9.36215,2116.0,2116
0,9,0-L148,,,0-S222,,,,,,,12.758590798652268,640.0,640
0,9,0-S255,0-L223,0-L256,0-S222,Column_3,126209.0,612.2500000000001,<=,left,None,7.8894400000000005,1476.0,1476
0,10,0-L223,,,0-S255,,,,,,,7.138225908056682,929.0,929
0,10,0-L256,,,0-S255,,,,,,,9.16525739101477,547.0,547
0,7,0-S131,0-S144,0-S223,0-S130,Column_7,29547400.0,2339.0000000000005,<=,left,None,24.540399999999998,5551.0,5551
0,8,0-S144,0-S169,0-L145,0-S131,Column_8,16026600.0,856.2500000000001,<=,left,None,28.6485,4327.0,4327
0,9,0-S169,0-S195,0-S198,0-S144,Column_3,9100510.0,643.2500000000001,<=,left,None,26.2026,3782.0,3782
0,10,0-S195,0-L131,0-L196,0-S169,Column_9,3528290.0,450.25000000000006,<=,left,None,31.2818,1933.0,1933
0,11,0-L131,,,0-S195,,,,,,,27.55755693420786,1152.0,1152
0,11,0-L196,,,0-S195,,,,,,,36.77526558902037,781.0,781
0,10,0-S198,0-L170,0-L199,0-S169,Column_5,3190980.0,615.2500000000001,<=,left,None,20.8926,1849.0,1849
0,11,0-L170,,,0-S198,,,,,,,13.98172817766029,533.0,533
0,11,0-L199,,,0-S198,,,,,,,23.69160633857755,1316.0,1316
0,9,0-L145,,,0-S144,,,,,,,45.621724972367986,545.0,545
0,8,0-S223,0-L132,0-L224,0-S131,Column_9,917086.0,497.25000000000006,<=,left,None,10.0176,1224.0,1224
0,9,0-L132,,,0-S223,,,,,,,7.584779147216253,718.0,718
0,9,0-L224,,,0-S223,,,,,,,13.469582620194629,506.0,506
